filename,hiragana,romaji,phrase
IMG_2583.PNG,あ,a,Ah! There is a snake!
IMG_2584.PNG,い,i,ears
IMG_2585.PNG,う,u,Woo! This is heavy.
IMG_2586.PNG,え,e,exercise
IMG_2587.PNG,お,o,on the green
IMG_2588.PNG,か,ka,cup and spoon
IMG_2589.PNG,き,ki,key
IMG_2590.PNG,く,ku,cuckoo's beak
IMG_2591.PNG,け,ke,cane
IMG_2592.PNG,こ,ko,coin
IMG_2593.PNG,さ,sa,surfing
IMG_2594.PNG,し,shi,She has long hair.
IMG_2595.PNG,す,su,swimming
IMG_2596.PNG,せ,se,sailing
IMG_2597.PNG,そ,so,sewing zig zag
IMG_2598.PNG,た,ta,ta
IMG_2599.PNG,ち,chi,cheer girl
IMG_2600.PNG,つ,tsu,tsunami
IMG_2601.PNG,て,te,table
IMG_2602.PNG,と,to,toe
IMG_2603.PNG,な,na,nuts
IMG_2604.PNG,に,ni,knee
IMG_2605.PNG,ぬ,nu,noodle with chopsticks
IMG_2606.PNG,ね,ne,net
IMG_2607.PNG,の,no,NO sign
IMG_2608.PNG,は,ha,hammer
IMG_2609.PNG,ひ,hi,Hee-hee-hee
IMG_2610.PNG,ふ,fu,Mt.Fuji
IMG_2611.PNG,へ,he,head
IMG_2612.PNG,ほ,ho,Hotel
IMG_2613.PNG,ま,ma,mushrooms
IMG_2614.PNG,み,mi,"Who is 21?" "Me!"
IMG_2615.PNG,む,mu,moo
IMG_2616.PNG,め,me,make pretzels
IMG_2617.PNG,も,mo,more fish
IMG_2618.PNG,や,ya,yacht
IMG_2619.PNG,ゆ,yu,U-turn
IMG_2620.PNG,よ,yo,yo-yo
IMG_2621.PNG,ら,ra,lion
IMG_2622.PNG,り,ri,listen
IMG_2623.PNG,る,ru,ruby
IMG_2624.PNG,れ,re,Let's wait another fish.
IMG_2625.PNG,ろ,ro,robbed!
IMG_2626.PNG,わ,wa,worm around a stick
IMG_2627.PNG,を,wo,Oh! I can ride a unicycle!
IMG_2628.PNG,ん,n,'n' sound
