filename,katakana,romaji,phrase
IMG_2681.PNG,ア,a,ice cream
IMG_2682.PNG,イ,i,earing
IMG_2683.PNG,ウ,u,Woo! This is heavy.
IMG_2684.PNG,エ,e,exercise
IMG_2685.PNG,オ,o,overall
IMG_2687.PNG,キ,ki,key
IMG_2688.PNG,ク,ku,cooking
IMG_2689.PNG,ケ,ke,Letter "K" is in "OK".
IMG_2690.PNG,コ,ko,comb
IMG_2691.PNG,サ,sa,saber
IMG_2692.PNG,シ,shi,sheep
IMG_2693.PNG,ス,su,superman
IMG_2694.PNG,セ,se,set the world record
IMG_2695.PNG,ソ,so,sombrero
IMG_2696.PNG,タ,ta,tower of Pisa
IMG_2697.PNG,チ,chi,cheer leader
IMG_2698.PNG,ツ,tsu,tsunami
IMG_2699.PNG,テ,te,table
IMG_2700.PNG,ト,to,totem pole
IMG_2701.PNG,ナ,na,knife
IMG_2702.PNG,ニ,ni,needle
IMG_2703.PNG,ヌ,nu,eating noodle with chopsticks
IMG_2704.PNG,ネ,ne,necktie
IMG_2705.PNG,ノ,no,NO sign
IMG_2706.PNG,ハ,ha,Ha-ha-ha
IMG_2707.PNG,ヒ,hi,heel stretches
IMG_2708.PNG,フ,fu,hood
IMG_2709.PNG,ヘ,he,head
IMG_2710.PNG,ホ,ho,holy cross
IMG_2711.PNG,マ,ma,my nose
IMG_2712.PNG,ミ,mi,mitt
IMG_2713.PNG,ム,mu,moo
IMG_2714.PNG,メ,me,Mexico
IMG_2715.PNG,モ,mo,more fish
IMG_2716.PNG,ヤ,ya,yacht
IMG_2717.PNG,ユ,yu,ukulele
IMG_2718.PNG,ヨ,yo,yogurt
IMG_2719.PNG,ラ,ra,ramen noodle
IMG_2720.PNG,リ,ri,listen
IMG_2721.PNG,ル,ru,Look!
IMG_2722.PNG,レ,re,Let's dance!
IMG_2723.PNG,ロ,ro,robot
IMG_2724.PNG,ワ,wa,wine
IMG_2725.PNG,ヲ,wo,Oh! I can ride a unicycle!
IMG_2726.PNG,ン,n,"「ノ(no)」with one more line."
